station,aos,los,duration,angle
Punta Arenas,06/16/2024 21:31:19,06/16/2024 21:32:13,53.849,10
Svalbard,06/17/2024 01:45:46,06/17/2024 01:47:04,78.031,-20
Svalbard,06/17/2024 03:24:03,06/17/2024 03:25:30,86.833,10
Fairbanks,06/17/2024 03:33:46,06/17/2024 03:35:54,127.833,20
Troll,06/17/2024 06:00:10,06/17/2024 06:00:16,6.56,-20
Troll,06/17/2024 06:01:51,06/17/2024 06:02:44,52.906,-20
Troll,06/17/2024 07:38:30,06/17/2024 07:40:51,140.845,20
Troll,06/17/2024 07:38:35,06/17/2024 07:40:45,129.36,10
Troll,06/17/2024 07:38:50,06/17/2024 07:40:28,98.182,0
Troll,06/17/2024 07:39:31,06/17/2024 07:39:47,16.334,-10
Troll,06/17/2024 09:16:21,06/17/2024 09:18:00,99.005,20
Punta Arenas,06/17/2024 11:02:40,06/17/2024 11:04:40,120.417,0
Punta Arenas,06/17/2024 11:02:40,06/17/2024 11:04:42,121.896,10
Punta Arenas,06/17/2024 11:02:48,06/17/2024 11:04:30,101.703,-10
Punta Arenas,06/17/2024 11:03:10,06/17/2024 11:04:07,56.75,-20
Troll,06/17/2024 14:07:15,06/17/2024 14:09:40,145.478,20
Troll,06/17/2024 14:08:27,06/17/2024 14:08:29,2.311,10
Fairbanks,06/17/2024 14:53:08,06/17/2024 14:53:55,46.987,20
Fairbanks,06/17/2024 14:53:33,06/17/2024 14:55:09,95.393,10
Troll,06/17/2024 15:45:12,06/17/2024 15:47:16,123.29,0
Troll,06/17/2024 15:45:14,06/17/2024 15:47:15,120.878,-10
Troll,06/17/2024 15:45:25,06/17/2024 15:47:05,99.998,-20
